year,direction,count
2013,Contrastive Learning,3485
2014,Contrastive Learning,3639
2015,Contrastive Learning,4110
2016,Contrastive Learning,4328
2017,Contrastive Learning,4634
2018,Contrastive Learning,5601
2019,Contrastive Learning,6656
2020,Contrastive Learning,8941
2021,Contrastive Learning,11612
2022,Contrastive Learning,14490
2023,Contrastive Learning,19787
2024,Contrastive Learning,19200
2025,Contrastive Learning,15473
2010,Federated Learning,27
2011,Federated Learning,37
2012,Federated Learning,35
2013,Federated Learning,43
2014,Federated Learning,35
2015,Federated Learning,42
2016,Federated Learning,42
2017,Federated Learning,55
2018,Federated Learning,122
2019,Federated Learning,446
2020,Federated Learning,1635
2021,Federated Learning,3493
2022,Federated Learning,5319
2023,Federated Learning,8226
2024,Federated Learning,10409
2025,Federated Learning,9986
2010,Differential Privacy in ML,128
2011,Differential Privacy in ML,135
2012,Differential Privacy in ML,137
2013,Differential Privacy in ML,158
2014,Differential Privacy in ML,175
2015,Differential Privacy in ML,162
2016,Differential Privacy in ML,181
2017,Differential Privacy in ML,212
2018,Differential Privacy in ML,257
2019,Differential Privacy in ML,327
2020,Differential Privacy in ML,446
2021,Differential Privacy in ML,565
2022,Differential Privacy in ML,644
2023,Differential Privacy in ML,750
2024,Differential Privacy in ML,711
2025,Differential Privacy in ML,489
2010,Knowledge Graphs,2424
2011,Knowledge Graphs,2626
2012,Knowledge Graphs,3190
2013,Knowledge Graphs,3292
2014,Knowledge Graphs,3828
2015,Knowledge Graphs,4082
2016,Knowledge Graphs,4324
2017,Knowledge Graphs,5280
2018,Knowledge Graphs,6516
2019,Knowledge Graphs,8668
2020,Knowledge Graphs,11832
2021,Knowledge Graphs,14850
2022,Knowledge Graphs,16786
2023,Knowledge Graphs,21220
2024,Knowledge Graphs,19194
2025,Knowledge Graphs,14962
2010,Graph Machine Learning,224
2011,Graph Machine Learning,277
2012,Graph Machine Learning,341
2013,Graph Machine Learning,386
2014,Graph Machine Learning,434
2015,Graph Machine Learning,511
2016,Graph Machine Learning,574
2017,Graph Machine Learning,770
2018,Graph Machine Learning,1176
2019,Graph Machine Learning,1568
2020,Graph Machine Learning,2257
2021,Graph Machine Learning,2953
2022,Graph Machine Learning,3439
2023,Graph Machine Learning,4270
2024,Graph Machine Learning,3715
2025,Graph Machine Learning,2996
2010,Automatic Speech Recognition,1817
2011,Automatic Speech Recognition,1966
2012,Automatic Speech Recognition,2015
2013,Automatic Speech Recognition,2149
2014,Automatic Speech Recognition,2348
2015,Automatic Speech Recognition,2387
2016,Automatic Speech Recognition,2321
2017,Automatic Speech Recognition,2492
2018,Automatic Speech Recognition,2893
2019,Automatic Speech Recognition,3214
2020,Automatic Speech Recognition,3890
2021,Automatic Speech Recognition,4568
2022,Automatic Speech Recognition,5090
2023,Automatic Speech Recognition,5531
2024,Automatic Speech Recognition,4655
2025,Automatic Speech Recognition,3270
2010,Machine Translation,1906
2011,Machine Translation,2185
2012,Machine Translation,2250
2013,Machine Translation,2208
2014,Machine Translation,2481
2015,Machine Translation,2532
2016,Machine Translation,3108
2017,Machine Translation,3714
2018,Machine Translation,5399
2019,Machine Translation,6233
2020,Machine Translation,7156
2021,Machine Translation,7367
2022,Machine Translation,6995
2023,Machine Translation,8219
2024,Machine Translation,6791
2025,Machine Translation,5478
2010,Question Answering,26827
2011,Question Answering,29346
2012,Question Answering,32962
2013,Question Answering,35920
2014,Question Answering,37623
2015,Question Answering,40425
2016,Question Answering,43010
2017,Question Answering,43698
2018,Question Answering,46543
2019,Question Answering,51165
2020,Question Answering,56372
2021,Question Answering,54666
2022,Question Answering,65967
2023,Question Answering,54446
2024,Question Answering,44113
2025,Question Answering,26406
2010,Information Retrieval,38933
2011,Information Retrieval,42365
2012,Information Retrieval,43298
2013,Information Retrieval,44084
2014,Information Retrieval,44455
2015,Information Retrieval,44551
2016,Information Retrieval,42202
2017,Information Retrieval,43069
2018,Information Retrieval,44503
2019,Information Retrieval,46280
2020,Information Retrieval,48477
2021,Information Retrieval,46913
2022,Information Retrieval,46509
2023,Information Retrieval,49170
2024,Information Retrieval,40905
2025,Information Retrieval,26979
2010,Named Entity Recognition,1051
2011,Named Entity Recognition,1106
2012,Named Entity Recognition,1215
2013,Named Entity Recognition,1360
2014,Named Entity Recognition,1416
2015,Named Entity Recognition,1551
2016,Named Entity Recognition,1538
2017,Named Entity Recognition,1680
2018,Named Entity Recognition,1916
2019,Named Entity Recognition,2482
2020,Named Entity Recognition,2854
2021,Named Entity Recognition,3088
2022,Named Entity Recognition,3405
2023,Named Entity Recognition,4015
2024,Named Entity Recognition,3086
2025,Named Entity Recognition,2108
2010,Summarization,47843
2011,Summarization,53624
2012,Summarization,54195
2013,Summarization,57077
2014,Summarization,57896
2015,Summarization,55123
2016,Summarization,53880
2017,Summarization,56003
2018,Summarization,61483
2019,Summarization,67389
2020,Summarization,84055
2021,Summarization,93434
2022,Summarization,96610
2023,Summarization,101356
2024,Summarization,79870
2025,Summarization,51903
2010,Data Augmentation,815
2011,Data Augmentation,868
2012,Data Augmentation,927
2013,Data Augmentation,1053
2014,Data Augmentation,1039
2015,Data Augmentation,1172
2016,Data Augmentation,1307
2017,Data Augmentation,1693
2018,Data Augmentation,2504
2019,Data Augmentation,3922
2020,Data Augmentation,5514
2021,Data Augmentation,7730
2022,Data Augmentation,9361
2023,Data Augmentation,12195
2024,Data Augmentation,11348
2025,Data Augmentation,8723
2010,Domain Adaptation,1114
2011,Domain Adaptation,1264
2012,Domain Adaptation,1333
2013,Domain Adaptation,1476
2014,Domain Adaptation,1619
2015,Domain Adaptation,1684
2016,Domain Adaptation,1809
2017,Domain Adaptation,1962
2018,Domain Adaptation,2408
2019,Domain Adaptation,3278
2020,Domain Adaptation,4149
2021,Domain Adaptation,5045
2022,Domain Adaptation,5433
2023,Domain Adaptation,6707
2024,Domain Adaptation,6678
2025,Domain Adaptation,6204
2010,Computer Vision,2759380
2011,Computer Vision,3013595
2012,Computer Vision,3065019
2013,Computer Vision,3187484
2014,Computer Vision,3349731
2015,Computer Vision,3479122
2016,Computer Vision,3491885
2017,Computer Vision,3291264
2018,Computer Vision,3335774
2019,Computer Vision,3503976
2020,Computer Vision,3870046
2021,Computer Vision,3448649
2022,Computer Vision,3667119
2023,Computer Vision,3683989
2024,Computer Vision,3244963
2025,Computer Vision,2073012
2010,Multimodal (General),4265
2011,Multimodal (General),4780
2012,Multimodal (General),4814
2013,Multimodal (General),5309
2014,Multimodal (General),5751
2015,Multimodal (General),6225
2016,Multimodal (General),6643
2017,Multimodal (General),7441
2018,Multimodal (General),8787
2019,Multimodal (General),10252
2020,Multimodal (General),12954
2021,Multimodal (General),14981
2022,Multimodal (General),18153
2023,Multimodal (General),25500
2024,Multimodal (General),28612
2025,Multimodal (General),31813
